Gene	Length
OR7E2P	889
AP001528.2	1218
AP001528.3	3249
FZD4	7383
AP001528.1	1393
HNRNPCP8	888
TMEM135	5030
XIAPP2	1852
AP002967.1	539
AP001102.1	409
AP000811.1	651
PSMA2P1	646
AP003497.1	562
AP003497.2	967
AP001784.1	428
RNU6-1135P	103
RNU6-1063P	61
AP000756.1	679
AP000756.2	2567
MTCYBP41	1123
AP000676.2	301
AP000676.3	569
AP000676.4	623
AP000676.1	52
AP005436.3	572
AP005436.1	488
AP005436.2	252
RAB38	1465
AP001642.1	2117
MIR3166	92
CTSC	11421
GAPDHP70	1045
GRM5-AS1	4837
GRM5	8657
RNU6-16P	107
AP001482.1	115
TYR	3016
CBX3P7	502
AP000720.1	483
AP000720.2	769
NOX4	6096
AP002404.1	451
AP003400.4	399
AP003400.5	617
AP003400.1	231
AP003400.2	666
AP003400.3	346
AP003400.6	740
FOLH1B	2505
UBTFL10	562
AP003122.6	495
TRIM77	1353
AP003122.4	758
AP003122.5	3766
UBTFL2	1191
AP003122.2	486
AP003122.3	255
AP003122.1	755
TRIM64DP	1342
AP004833.2	1454
AP004833.3	322
TRIM49	2163
AP004833.1	1238
TRIM53BP	1720
TRIM51BP	1359
AP005435.1	1178
TRIM64B	2689
AP005435.4	284
AP005435.2	590
AP005435.3	3198
MTND1P35	508
TRIM49D1	2164
TRIM49D2	1651
AP004607.3	3915
AP004607.9	316
AP004607.8	323
AP004607.1	203
TRIM64	2691
AP004607.7	1677
TRIM51EP	1516
TRIM53AP	1544
AP004607.6	1202
TRIM49C	2163
AP004607.2	322
AP004607.4	1459
TRIM64EP	1307
AP004607.5	217
AP000827.1	258
UBTFL1	1182
AP000648.1	397
AP000648.2	404
NAALAD2	7254
CHORDC1	10655
AP002364.1	3495
DISC1FP1	2926
TUBAP2	1613
MIR4490	84
AP002782.1	614
MIR1261	82
AP001002.3	206
AP001002.1	1513
AP001002.2	386
OSBPL9P2	1228
OSBPL9P3	595
AP003386.1	504
AP003485.2	610
AP003485.1	753
AP002791.1	381
AP003028.1	1542
TUBB4BP4	304
AP002799.1	423
RPL7AP57	784
NDUFB11P1	465
FAT3	19280
PGAM1P9	755
AP000722.1	775
AP000805.1	784
AP003718.1	583
AP003171.3	706
AP003171.2	1256
SNRPGP16	226
AP003171.1	266
MTNR1B	1956
AP002371.1	433
AP002371.2	503
AP003072.4	310
SLC36A4	9685
AP003072.2	676
AP003072.5	773
AP003072.3	594
AP003072.1	145
AP003969.1	400
AP003969.2	2275
DEUP1	4227
AP004242.1	438
SMCO4	1223
RN7SL223P	291
AP003499.3	857
AP003499.2	483
AP003499.1	574
CEP295	9495
SCARNA9	353
AP001273.1	3152
TAF1D	8420
SNORD6	73
MIR1304	91
C11orf54	6269
AP001273.2	2993
MED17	16610
RN7SL195P	268
VSTM5	3849
AP002795.1	84
HPRT1P3	576
HEPHL1	5345
PHBP16	950
PANX1	2769
AP002784.2	549
AP002784.1	723
IZUMO1R	827
GPR83	4282
MRE11	7689
AP000765.1	52
MIR548L	86
AP000786.1	581
ANKRD49	3526
C11orf97	701
FUT4	6059
PIWIL4	4558
AP000943.3	1175
AP000943.4	357
AP000943.1	712
AP000943.2	908
AMOTL1	10035
AP002383.3	593
AP002383.1	720
CWC15	2757
KDM4D	2978
AP002383.2	675
KDM4E	2339
AP002383.6	697
AP002383.4	1547
AP002383.5	1161
KDM4F	1917
AP001264.1	703
SRSF8	4027
ENDOD1	4687
BUD13P1	1489
AP000787.2	568
AP000787.1	5320
SESN3	10573
AP000787.3	307
AP001790.1	570
AP000820.1	506
FAM76B	6042
CEP57	7101
AP001877.1	654
MTMR2	6119
RNA5SP345	108
AP000870.1	406
MAML2	7109
MIR1260B	89
CCDC82	6850
JRKL	3511
JRKL-AS1	426
RNA5SP346	121
AP003781.1	404
AP003066.1	1647
AP003066.2	555
MED28P5	438
AP001836.1	523
LINC02553	734
RNA5SP347	119
AP003730.2	1100
AP003730.1	378
AP001317.1	960
AP003038.1	1754
AP003715.1	435
AP002428.1	380
CNTN5	9103
RN7SKP53	315
AP003558.1	68
RPA2P3	770
RN7SL222P	296
AP000620.1	504
AP001351.1	1865
ARHGAP42	6944
AC015600.1	95
RN7SKP115	317
TMEM133	1953
PGR	15404
PGR-AS1	1794
AP001533.1	546
TRPC6	5537
MIR3920	86
AP003080.1	2371
AP000776.1	1663
ANGPTL5	2368
CEP126	8191
C11orf70	2647
AP001527.1	1957
AP001527.2	631
YAP1	6296
AP000942.2	628
AP000942.1	747
AP000942.3	160
AP000942.4	241
RNU6-952P	108
BIRC3	7518
BIRC2	4532
TMEM123	4647
AP001830.1	692
AP001830.2	494
MMP7	2323
MMP20	2551
AP000851.1	1400
AP000851.2	721
MMP27	1913
MMP8	3438
WTAPP1	3331
AP000619.1	1000
AP000619.3	1127
MMP10	1758
MMP1	1970
AP000619.2	969
MMP3	2048
MMP12	1872
BOLA3P1	355
RNU7-159P	62
MMP13	2834
AP001486.3	372
AP001486.1	476
AP001486.2	5113
DCUN1D5	1700
DYNC2H1	14284
MTCO3P15	574
MTATP6P15	835
MTCO2P15	656
MTCO1P15	1526
MTND2P26	1029
MTND1P36	936
AP003461.1	78
AP002989.1	562
MIR4693	75
PDGFD	4266
AP003043.1	547
DDI1	2609
RNA5SP348	37
LINC02552	1289
AP001485.1	199
AP002004.2	154
CASP12	1786
AP002004.1	4307
CASP4	7256
AP001153.1	338
CASP5	1592
CASP1	3698
CARD16	1688
CASP1P2	1258
CARD17	1232
CASP1P1	212
CARD18	940
AP003181.1	445
OR2AL1P	507
AP003181.2	181
GRIA4	10083
AP000641.1	1639
RNU4-55P	137
AP000673.1	81
RNU6-277P	106
MSANTD4	5105
KBTBD3	5516
AASDHPPT	6183
AP001001.1	1247
AP001001.2	409
AP002001.1	3268
AP002001.2	1469
GUCY1A2	16361
AP001282.1	1643
AP001282.2	309
AP003057.1	1245
AP000766.1	4140
CWF19L2	3581
SMARCE1P1	1186
ALKBH8	4506
AP001823.1	1003
ELMOD1	5856
AP000889.3	972
AP000889.2	490
AP000889.1	660
SLN	906
AP002353.1	1638
AP001024.2	318
AP001024.1	642
SLC35F2	3717
RAB39A	1830
CUL5	6742
AP002433.1	964
ACAT1	5584
NPAT	7534
ATM	23972
AP001925.1	51
C11orf65	3524
AP005718.1	98
KDELC2	4993
EXPH5	10843
DDX10	8461
AP002453.1	668
AP002453.2	320
CYCSP29	318
AP003027.1	2080
AP003123.1	333
RNU6-654P	107
RNA5SP349	109
AP003049.2	1091
C11orf87	5884
AP003049.1	457
AP003102.1	661
AP002444.1	620
AP001981.1	738
RPSAP50	852
AP001981.2	418
AP001889.1	633
ZC3H12C	9719
RDX	6592
AP000924.1	781
FDX1	3206
ARHGAP20	7125
HNRNPA1P60	951
AP002963.1	184
RNA5SP350	111
AP003973.2	499
LINC02550	1345
RPS17P15	349
AP003973.1	691
C11orf53	1264
COLCA1	8733
COLCA2	2059
MIR4491	68
POU2AF1	7416
RNU2-60P	128
AP002008.3	2587
AP002008.2	5327
BTG4	1801
MIR34B	84
MIR34C	77
AP002008.1	1155
C11orf88	3280
LAYN	3144
SIK2	9796
AP000925.1	1449
RN7SKP273	314
PPP2R1B	6720
AP001781.2	885
ALG9	8013
AP001781.3	3346
ALG9-IT1	684
AP001781.1	207
FDXACB1	3551
C11orf1	3831
RPL37AP8	276
CRYAB	3034
HSPB2	1335
HSPB2-C11orf52	2058
C11orf52	1800
DIXDC1	8508
RNA5SP351	109
AP000907.2	353
AP000907.3	322
DLAT	4831
AP000907.1	510
RNU6-893P	100
AP000907.4	237
PIH1D2	2474
C11orf57	5755
TIMM8B	1166
SDHD	3709
IL18	2628
AP002884.4	594
TEX12	1155
BCO2	6789
KCTD9P4	1166
MRPS36P4	298
AP002884.2	395
PTS	3130
AP002884.1	750
PLET1	1215
AP002884.5	1132
ST13P10	1082
AP002884.3	5018
RNU6-44P	107
AP003063.1	1583
RPL23AP62	453
AP003063.2	2067
snosnR66	99
AP003100.1	832
AP000802.1	1975
NCAM1	12735
RNU7-187P	68
NCAM1-AS1	1198
AP000880.1	958
TTC12	5302
AP002840.2	640
ANKK1	2598
AP002840.1	524
DRD2	4098
MIR4301	66
TMPRSS5	2662
MTRF1LP1	679
ZW10	2992
RPS29P19	171
AP003170.5	335
AP003170.4	586
CLDN25	754
ATF4P4	2136
AP003170.2	786
LRRC37A13P	287
USP28	5719
AP003170.3	158
AP003170.1	1030
RNU6-1107P	104
HTR3B	2314
HTR3A	2772
ZBTB16	6372
AP000908.1	119
AP002518.2	393
NNMT	2919
AP002518.1	3837
C11orf71	2203
RBM7	7885
AP002373.1	729
REXO2	3699
AP002373.2	1060
NXPE2P1	726
AC020549.2	508
NXPE1	4317
NXPE4	2163
AC020549.1	1440
NXPE2	1873
CADM1	11017
AP000462.3	330
AP000462.1	818
AP000462.2	903
AP003174.2	294
AP003174.3	516
RPL12P46	195
AP003174.1	376
AP000997.1	479
AP000997.2	8400
AP000997.3	2250
AP002991.1	574
AP002991.2	2801
LINC00900	4766
AP000797.3	641
AP000797.2	606
AP000797.1	387
LINC02151	921
AP000770.2	100
AP000770.1	738
BUD13	2196
AP006216.1	419
ZPR1	7069
APOA5	1938
AP006216.2	333
APOA4	1473
APOC3	866
APOA1	1424
APOA1-AS	563
SIK3	10920
SIK3-IT1	2472
AP000936.2	781
RNY4P6	96
AP000936.3	255
AP000936.1	483
AP005018.2	822
AP005018.1	301
PAFAH1B2	7104
SIDT2	9061
TAGLN	3917
PCSK7	22303
AP000892.3	5326
RNF214	4398
BACE1	7190
BACE1-AS	1022
AP000892.2	324
CEP164	12898
AP000892.1	488
PRR13P3	376
DSCAML1	7035
AP000711.1	917
AP001554.1	376
FXYD2	5595
AP000757.2	557
FXYD6-FXYD2	782
AP000757.1	1464
FXYD6	5137
TMPRSS13	5367
IL10RA	8102
TMPRSS4-AS1	3769
TMPRSS4	9948
SCN4B	5649
SCN2B	5826
JAML	8587
HSPE1P18	280
MPZL3	3968
MPZL2	4753
AP002800.1	2225
CD3E	2844
AP001582.1	295
CD3D	929
CD3G	3836
UBE4A	6576
AP001267.1	2395
ATP5L	3382
AP001267.4	545
RN7SL86P	297
AP001267.2	2086
KMT2A	21961
AP001267.3	1054
TTC36	1009
TMEM25	5529
IFT46	3814
RPL5P30	891
ARCN1	4177
RNU6-1157P	106
PHLDB1	21721
AP000941.1	1388
TREH	3179
TREHP1	465
RNU6-376P	106
AP002954.1	425
DDX6	11443
AP004609.3	1884
AP004609.2	190
SETP16	711
CXCR5	4431
AP004609.1	1646
BCL9L	10470
MIR4492	80
UPK2	1106
RN7SL688P	265
FOXR1	1237
RN7SL529P	300
AP003392.4	1506
CCDC84	5105
RPL23AP64	435
AP003392.1	523
AP003392.2	208
RPS25	1477
TRAPPC4	5140
MIR3656	69
SLC37A4	6186
AP003392.3	667
HYOU1	7693
AP003392.5	415
AP003392.6	325
VPS11	5906
HMBS	4247
H2AFX	1614
DPAGT1	5280
C2CD2L	9216
HINFP	9836
ABCG4	6270
AP002956.1	48
NLRX1	5320
PDZD3	3827
CCDC153	2556
CBL	11740
RNU6-262P	116
MCAM	7422
RNF26	2787
AP003396.1	507
C1QTNF5	1540
MFRP	4064
USP2	4538
AP003396.3	894
USP2-AS1	4762
AP003396.2	1297
AP003396.4	265
THY1	5925
AP003396.5	632
DUXAP5	529
KRT8P7	1432
AP003393.1	4476
NECTIN1	7701
RNU6-1123P	106
AP003390.2	559
AP003390.1	523
AP001994.1	826
AP001360.1	1250
AP001360.2	562
TRIM29	10218
AP000679.1	2081
OAF	3176
POU2F3	6645
AP001150.1	2600
TMEM136	4468
ARHGEF12	24404
AP000758.1	168
GRIK4	7518
ELOCP22	334
AP004147.1	6314
HMGB1P42	553
TBCEL	7020
TECTA	7696
AP001124.1	385
RPS4XP12	709
SC5D	5566
BMPR1APS2	1012
AP002365.1	772
AP000977.1	2908
SORL1	19449
RNU6-256P	97
MIR100HG	11009
MIR125B1	88
BLID	862
MIRLET7A2	73
MIR100	80
AP000755.1	507
AP000755.2	571
RNU4ATAC10P	122
RNU4ATAC5P	126
RNU6-592P	103
AP002469.1	1043
AP002469.2	424
UBASH3B	9011
CRTAM	2675
C11orf63	4680
RNU4-23P	140
ATP5F1P5	760
BSX	830
AP003040.1	1024
AP000926.2	358
AP000926.3	299
AP000926.1	241
HSPA8	4849
SNORD14E	85
SNORD14D	87
SNORD14C	88
CLMP	5097
AP000926.4	454
AP001970.1	701
AP001782.1	477
PHBP17	541
GRAMD1B	14408
MIR4493	73
AP002765.1	1507
SCN3B	9464
AP002765.2	666
AP000868.1	98
ZNF202	4808
OR6X1	1058
RNU1-21P	163
OR6M1	1053
OR6M2P	2187
OR6M3P	700
TMEM225	1107
OR8D4	3175
OR4D5	1095
OR6T1	1089
OR10S1	1121
OR10G6	999
OR10G5P	358
OR10G4	3623
OR10G9	936
OR10G8	1115
OR10G7	3449
OR10D5P	915
OR10D4P	951
OR10N1P	1479
VWA5A	6403
OR10D1P	936
OR10D3	3648
OR8F1P	930
OR8G3P	1344
OR8G2P	904
OR8G7P	846
OR8G1	4191
OR8G5	1674
SLC5A4P1	612
OR8D1	8507
OR8D2	1051
AP001804.1	919
AP001804.3	880
AP001804.2	910
OR8B1P	1178
OR8C1P	925
OR8B2	1056
OR8B3	2170
OR8X1P	869
OR8B4	990
OR8B8	3971
OR8A2P	952
OR8B9P	5216
OR8B10P	932
AP000916.2	286
AP000916.1	835
OR8B12	2147
OR8A1	6088
OR8Q1P	655
PANX3	1667
TBRG1	6627
SIAE	8139
RNA5SP352	134
SPA17	5205
NRGN	1309
AP000866.5	445
VSIG2	1432
ESAM	2920
AP000866.2	1538
MSANTD2	4335
AP000866.6	3579
AP000866.3	433
AP000866.1	4934
AP000866.4	448
ROBO3	7026
AP003501.1	744
ROBO4	7033
AP003501.2	477
HEPACAM	3829
HEPN1	1434
CCDC15	4823
SLC37A2	6371
TMEM218	5424
KRT18P59	3338
AP001007.2	593
PKNOX2-AS1	586
PKNOX2	6538
AP001007.3	455
AP001007.1	645
RNU6-321P	106
FEZ1	5937
AP000708.1	3423
EI24	3557
STT3A-AS1	429
RNU6-1156P	100
STT3A	7345
CHEK1	6558
RNU2-35P	142
ACRV1	2212
PATE1	2348
PATE2	1657
PATE3	1336
PATE4	2882
AP000842.3	1498
HYLS1	2999
PUS3	2010
AP000842.2	987
DDX25	11167
AP000842.1	698
VSIG10L2	2783
CDON	10600
AP000842.4	748
NAP1L1P1	1063
AP000821.1	1909
AP001893.3	569
AP001893.2	202
RPUSD4	4083
AP001893.1	362
FAM118B	3846
RNU4-86P	219
RN7SL351P	246
SRPRA	4167
FOXRED1	5657
AP001318.1	321
TIRAP	3591
AP001318.2	492
AP001318.3	629
DCPS	3352
GSEC	3723
ST3GAL4	4465
AP001318.4	121
KIRREL3	6594
KIRREL3-AS1	586
AP001783.1	486
AP002833.1	566
AP002833.3	2265
KIRREL3-AS2	494
MIR3167	85
AP002833.2	462
KIRREL3-AS3	1768
AP001973.1	572
AP001993.1	2337
AP001993.2	561
AP003121.1	414
AP003481.1	742
RN7SKP121	305
RN7SKP279	298
AP003532.1	310
AP001000.1	742
AP000904.1	951
LINC02098	676
ETS1	7149
AP003397.1	1387
AP001995.2	897
AP001995.1	1157
AP001122.1	2255
FLI1	8172
SENCR	1298
KCNJ1	4637
AP000920.1	344
KCNJ5	6109
C11orf45	3750
TP53AIP1	3445
ARHGAP32	12841
RNU6-876P	104
RNU6-874P	105
ZNF123P	1196
BARX2	3660
RPS27P20	246
AP003500.1	527
LINC01395	982
AP003327.1	127
TMEM45B	3027
NFRKB	6335
PRDM10	6626
LINC00167	1419
AP003041.2	1528
ELOBP2	355
AP003041.3	707
APLP2	7451
AP003041.1	548
ST14	4350
ZBTB44	10801
AC019227.1	510
DDX18P5	1306
AP002986.1	2628
ADAMTS8	4523
ADAMTS15	5673
AP004371.1	214
BAK1P2	631
C11orf44	3547
PPP1R10P1	1795
LINC02551	2255
AP003486.1	3994
SNX19	8152
RN7SL167P	300
AP002806.1	81
AP002856.3	635
AP002856.1	562
AP002856.4	569
AP002856.2	1193
NTM	6956
RNU6ATAC12P	115
AP003025.2	4715
AP003025.1	149
NTM-AS1	703
AP004372.1	844
AP000844.2	509
AP000844.1	577
NTM-IT	373
AP000843.1	701
OPCML	7583
RNU6-1182P	79
AP003784.1	1749
OPCML-IT2	398
AP004782.1	3433
AP003972.1	5446
OPCML-IT1	2936
AP005638.1	80
AP001979.2	975
SPATA19	898
AP001979.1	751
MIR4697HG	5164
MIR4697	78
IGSF9B	5753
AP000911.1	4101
AP000911.4	516
AP000911.3	1130
JAM3	5451
AP000911.2	502
NCAPD3	9114
AP001775.1	586
AP001775.2	334
VPS26B	6483
THYN1	2119
ACAD8	7174
GLB1L3	8945
AP000859.1	307
GLB1L2	7280
B3GAT1	11425
AP004608.1	8255
AP004550.1	514
AP001999.2	389
AP001999.3	455
AP001999.1	3684
AP003062.1	2210
AP003062.2	1117
AP005135.1	714
FAM138D	1289
AC215219.1	1955
DDX11L8	366
AC026369.1	5568
IQSEC3	7686
AC026369.3	586
AC026369.2	1101
AC007406.3	1184
SLC6A12	5280
AC007406.1	315
AC007406.4	765
SLC6A13	4243
AC007406.2	503
AC007406.5	3170
KDM5A	12091
CCDC77	3614
B4GALNT3	6357
NINJ2	2048
AC006205.2	373
RNU7-103P	60
AC006205.1	389
AC021054.1	3530
LINC02455	496
WNK1	14370
RNU4ATAC16P	126
RAD52	4190
AC004803.1	3669
ERC1	13484
RN7SL852P	292
HTR1DP1	888
AC004672.1	2088
AC004672.2	574
LINC00942	2417
WNT5B	4305
FBXL14	2287
MIR3649	66
ADIPOR2	5878
AC005183.1	1979
RPS4XP14	781
CACNA2D4	7639
LRTM2	4277
AC005342.2	315
LINC00940	2350
DCP1B	4609
CACNA1C	19103
AC005342.1	629
CACNA1C-IT1	687
CACNA1C-IT2	589
AC005344.1	459
CACNA1C-AS4	735
CACNA1C-IT3	622
CACNA1C-AS3	444
AC007618.1	732
CACNA1C-AS2	609
CACNA1C-AS1	2639
ITFG2-AS1	1887
AC092471.2	651
LINC02371	567
IQSEC3P1	536
AC092471.1	1023
RPL23AP14	468
CBX3P4	653
FKBP4	5180
AC005841.1	1226
ITFG2	6250
NRIP2	2803
AC005841.2	1167
FOXM1	4899
RHNO1	2643
TULP3	3181
AC005911.1	456
RNU7-166P	61
RNU6-1315P	99
TEAD4	2272
AC125807.2	3514
AC125807.1	614
TSPAN9	6905
TSPAN9-IT1	562
AC005912.2	2400
AC005912.1	255
AC005865.2	5981
AC005865.1	3004
LINC02417	515
PRMT8	6644
AC005908.2	530
AC005908.1	347
CRACR2A	12466
AC005831.1	1774
RNU6-174P	106
AC006207.1	713
PARP11	6200
OTUD4P1	3067
AC005842.1	975
AC007207.2	588
HSPA8P5	2069
AC007207.1	865
CCND2-AS1	555
CCND2-AS2	495
CCND2	7157
TIGAR	4017
AC006122.1	440
FGF23	3018
FGF6	1209
C12orf4	4939
RAD51AP1	2558
DYRK4	7054
AC005832.2	1430
AC005832.4	818
AKAP3	3668
AC005832.3	631
AC005832.1	572
NDUFA9	10391
AC005833.3	1186
AC005833.2	1249
GALNT8	9208
AC005833.4	449
AC005833.1	4237
AC006063.1	560
AC005906.2	9655
KCNA1	7997
AC006063.2	1696
AC005906.1	554
KCNA5	2800
LINC02443	1393
AC006206.2	1604
AC006206.1	3387
AC007848.2	1727
AC007848.1	1405
NTF3	2919
ANO2	6255
AC137627.1	289
VWF	10391
RN7SL69P	270
AC005845.1	653
CD9	3299
ATP5J2P5	258
PLEKHG6	4260
TNFRSF1A	4005
RN7SL391P	280
SCNN1A	5876
LTBR	6280
AC005840.3	1803
AC005840.1	377
AC005840.2	355
CD27-AS1	3411
CD27	1410
TAPBPL	3188
VAMP1	3580
AC005840.5	599
AC005840.4	2494
MRPL51	1551
NCAPD2	6487
AC006064.5	248
AC006064.3	477
GAPDH	2981
AC006064.4	422
IFFO1	5203
AC006064.1	560
NOP2	4687
CHD4	7474
AC006064.2	2196
LPAR5	3258
ACRBP	2843
ING4	2736
RP4-761J14.8	1271
ZNF384	5181
PIANP	3266
RNU6-781P	101
AC125494.3	455
COPS7A	3113
AC125494.2	657
MLF2	3781
PTMS	1475
LAG3	3056
RN7SL380P	308
CD4	4583
GPR162	3295
P3H3	4600
GNB3	3437
CDCA3	5653
USP5	3738
TPI1	2700
SPSB2	2452
RPL13P5	1783
LRRC23	3054
DSTNP2	1105
U47924.3	461
ENO2	4281
ATN1	4762
C12orf57	1806
U47924.2	1097
RNU7-1	63
PTPN6	5009
MIR200CHG	350
MIR200C	68
MIR141	95
U47924.1	434
PHB2	2499
SCARNA12	270
EMG1	6266
LPCAT3	4724
C1S	6462
AC006512.1	291
AC006512.2	486
C1R	4696
C1RL	5014
C1RL-AS1	6094
AC233309.1	751
RNU6-485P	107
RBP5	1369
AC018653.3	1179
CLSTN3	6865
AC018653.1	651
PEX5	5488
AC018653.2	238
ACSM4	2477
CD163L1	5690
AC131206.1	1211
CD163	5813
GAPDHP31	1014
NIFKP3	865
AC006927.1	498
AC006927.2	389
AC006927.4	543
AC006927.3	384
APOBEC1	889
GDF3	1239
DPPA3	1079
CLEC4C	1551
NANOGNB	996
NANOG	5393
SLC2A14	5575
AC006517.1	328
AC124891.1	519
NANOGP1	2032
AC007536.1	349
SLC2A3	6159
AC006511.1	315
AC006511.4	561
HSPD1P12	1069
AC006511.2	660
FOXJ2	6296
C3AR1	2145
NECAP1	8763
AC006511.3	1783
AC006511.5	2208
CLEC4A	1281
POU5F1P3	1078
AC092111.3	496
GCSHP4	439
ZNF705A	3628
FAM66C	4661
DEFB109F	615
AC092111.2	1414
AC092111.1	3424
FAM90A1	2538
ALG1L10P	424
FAM86FP	994
LINC02449	1397
ENPP7P5	1031
LINC00937	5663
AC092745.2	620
AC092745.1	952
AC092745.3	216
RPS3AP43	781
AC092865.1	1169
AC092865.7	219
AC092865.6	219
AC092865.5	363
AC092865.3	1026
AC092865.2	1059
CLEC6A	1682
AC092865.4	615
RNU6-275P	107
CLEC4D	2013
SUPT4H1P2	353
CLEC4E	2422
AC092746.1	562
AICDA	3115
AC092184.1	715
HADHAP2	2285
MFAP5	3876
AC092490.2	488
AC092490.3	572
RIMKLB	8619
RPSAP51	645
A2ML1-AS1	452
AC092490.1	2279
A2ML1-AS2	386
A2ML1	7303
AC006581.2	455
PHC1	6090
M6PR	3777
KLRG1	2598
AC006581.1	496
HNRNPA1P34	950
VDAC2P2	901
LINC00612	2213
A2M-AS1	2192
A2M	6384
KRT17P8	863
AC007436.1	115
BTG1P1	508
PZP	6227
TPT1P12	492
RNU7-189P	59
A2MP1	4657
PTMAP4	346
LINC00987	2472
AC010175.1	224
AC009533.1	3158
AC009533.2	586
LINC02367	4388
AC141557.1	400
AC141557.2	482
DDX12P	2947
AC092821.3	5973
AC092821.1	12236
AC092821.2	2042
AC006432.1	70
KLRB1	1448
RNU6-700P	107
GOT2P3	1289
AC010186.4	615
AC010186.1	532
AC010186.2	2825
AC010186.3	2508
CLEC2D	6957
AC007068.1	844
LINC02390	560
CLECL1	1721
CD69	2832
AC007068.2	395
KLRF1	1260
CLEC2B	2638
AC091814.1	719
KLRF2	731
CLEC2A	1220
LINC02470	979
CLEC12A-AS1	3956
CLEC12A	3250
CLEC1B	3670
CLEC12B	3667
AC024224.2	782
CLEC9A	2854
AC024224.1	609
CLEC1A	3169
RN7SKP161	305
HNRNPABP1	734
CLEC7A	4190
OLR1	3057
TMEM52B	3489
GABARAPL1	4086
AC115676.1	329
KLRD1	17404
AC022075.3	649
AC022075.2	562
AC022075.1	2830
KLRK1	3030
KLRC4-KLRK1	2592
KLRC4	930
KLRC3	1148
AC068775.2	998
KLRC2	1499
KLRC1	2698
AC068775.1	2423
SLC25A39P2	270
LINC02446	868
KLRA1P	2457
MAGOHB	4856
STYK1	3424
YBX3	8610
LINC02366	752
HSPE1P12	301
TAS2R7	1096
TAS2R8	1243
TAS2R9	1075
PRH1	1792
TAS2R10	1042
AC006518.1	943
AC018630.6	1618
PRR4	3026
AC006518.2	1075
TAS2R13	1637
PRH2	757
TAS2R14	2350
TAS2R15P	928
TAS2R50	1000
TAS2R20	1381
TAS2R19	1002
TAS2R31	1021
AC018630.1	1114
TAS2R46	930
AC018630.2	2403
TAS2R43	1027
AC018630.3	96
TAS2R30	1687
AC134349.2	910
RNU6-676P	65
AC134349.1	385
SMIM10L1	4795
TAS2R67P	790
TAS2R42	941
AC244131.1	920
AC244131.2	498
PRB3	1386
PRB4	916
PRB1	1311
PRB2	1793
AC078950.1	1224
HIGD1AP8	274
AC007450.4	524
AC007450.3	247
DDX55P1	1414
AC007450.2	290
AC007450.1	311
RNU7-60P	62
LINC01252	3793
ETV6	7075
BCL2L14	5112
AC007537.1	327
LRP6	10337
AC007537.2	511
RNU6-545P	104
AC007621.1	437
RNU6-1295P	103
MANSC1	6015
RPL23AP66	479
LOH12CR2	1540
BORCS5	4980
AC007619.2	379
DUSP16	5724
AC007619.1	412
AC092824.1	576
CREBL2	3922
RPL21P136	396
AC008115.4	775
GPR19	2623
AC008115.2	241
CDKN1B	2811
AC008115.3	549
AC008115.1	150
APOLD1	7243
MIR613	95
STX8P1	355
DDX47	5040
AC007215.1	276
AC007688.1	759
RPL13AP20	609
GPRC5A	8440
MIR614	90
GPRC5D-AS1	3416
GPRC5D	1124
AC007688.2	369
SNORD88	91
HEBP1	3442
HTR7P1	4411
AC023790.2	2403
AC023790.1	347
FAM234B	6807
GSG1	3005
EMP1	7838
LINC01559	3953
GRIN2B	30941
RNA5SP353	118
RNU6-590P	107
AC007527.1	578
AC007527.2	546
AC007535.1	105
RN7SKP162	345
AC092470.1	132
AC135001.1	283
RN7SL46P	272
AC092112.1	640
MRPS18CP4	231
RNU6-491P	110
GNAI2P1	315
RN7SL676P	273
RPL30P11	668
ATF7IP	13189
PLBD1	2841
AC008114.1	427
RN7SKP134	269
PLBD1-AS1	596
GUCY2C	4177
AC010168.1	657
AC010168.2	5428
HIST4H4	2578
H2AFJ	3356
WBP11	5315
C12orf60	4570
SMCO3	2104
ART4	5214
AC007655.1	357
MGP	2639
ERP27	2426
ARHGDIB	2102
PDE6H	747
LINC01489	605
RERG	4157
RERG-IT1	301
RERG-AS1	337
METTL8P1	611
PTPRO	7519
AC092183.1	875
EPS8	6200
RNU6-251P	104
AC073651.1	465
AC073651.2	660
AC073651.3	417
STRAP	2211
DERA	2844
EGLN3P1	720
SLC15A5	2923
MGST1	7440
SUPT16HP1	3133
AC007528.1	77
AC007552.1	927
LMO3	10268
AC007552.2	603
AC007529.2	1094
AC007529.1	2178
AC023512.1	499
EEF1A1P16	1414
RNU6-837P	108
RPL7P40	745
PSMC1P8	1296
TIMM17BP1	516
LINC02378	1003
AC087321.1	460
RERGL	1549
PIK3C2G	5925
NDFIP1P1	525
AC092851.1	478
ZKSCAN7P1	673
PLCZ1	3388
PSMC1P9	1335
AC087242.1	572
CAPZA3	1087
RPL7P6	738
MEF2BNBP1	330
PLEKHA5	12558
AC092828.1	5391
RN7SL459P	299
RN7SL67P	297
AEBP2	6572
PDCD5P1	309
AC091805.2	235
RNU6-254P	107
EEF1A1P4	1405
AC091805.1	342
RNU1-146P	165
AC024901.1	718
TCP1P3	1498
AC087237.1	117
LINC02398	431
LINC02468	633
AC129102.1	525
PDE3A	8398
UBE2L2	429
AC112777.1	1423
SLCO1C1	4860
SLCO1B3	3542
AC011604.2	3774
AC011604.1	196
SLCO1B7	2681
AC022335.1	855
SLCO1B1	2229
SLCO1A2	11520
IAPP	2167
PYROXD1	5725
ELOCP31	467
RECQL	3778
